online_order,book_table,rate,votes,rest_type,price,type,location
No,No,3.8,39,Bakery,300,Delivery,Banashankari
Yes,No,3.2,71,Quick Bites,600,Delivery,Banashankari
Yes,No,3.6,6,Takeaway,500,Delivery,Banashankari
No,No,4.1,520,Quick Bites,300,Delivery,Banashankari
No,No,2.9,84,Delivery,700,Delivery,Banashankari
No,No,3.6,299,Quick Bites,300,Delivery,Banashankari
Yes,No,4.1,558,Quick Bites,150,Delivery,Banashankari
Yes,No,3.6,28,Quick Bites,300,Delivery,Banashankari
No,No,3.7,22,Quick Bites,500,Delivery,Banashankari
No,No,3.8,39,Quick Bites,350,Delivery,Banashankari
Yes,No,3.8,153,Fine Dining,500,Delivery,Banashankari
Yes,No,4.2,146,Beverage Shop,400,Delivery,Banashankari
No,No,3.5,14,Sweet Shop,200,Delivery,Banashankari
No,No,3.8,42,Casual Dining,700,Delivery,Banashankari
No,No,4.0,66,Bakery,300,Delivery,Banashankari
No,No,3.5,31,Quick Bites,200,Delivery,Banashankari
No,No,3.5,7,Dessert Parlor,500,Delivery,Banashankari
No,No,3.7,21,Quick Bites,250,Delivery,Banashankari
No,No,3.2,9,Dessert Parlor,300,Delivery,Banashankari
No,No,2.6,283,Casual Dining,600,Delivery,Banashankari
No,No,3.3,62,Bar,800,Delivery,Banashankari
No,No,3.8,64,Quick Bites,250,Delivery,Banashankari
No,No,3.7,39,Casual Dining,950,Delivery,Banashankari
No,No,3.7,65,Quick Bites,300,Delivery,Banashankari
Yes,No,3.8,71,Dessert Parlor,400,Delivery,Banashankari
No,No,3.5,52,Quick Bites,300,Delivery,Banashankari
No,No,3.7,130,Quick Bites,200,Delivery,Banashankari
No,No,3.5,10,Quick Bites,300,Delivery,Banashankari
No,No,3.8,45,Takeaway,400,Delivery,Banashankari
No,No,3.2,11,Cafe,600,Delivery,Banashankari
No,No,3.5,13,Bakery,300,Delivery,Banashankari
No,No,3.4,8,Quick Bites,300,Delivery,Banashankari
No,No,3.2,9,Quick Bites,300,Delivery,Banashankari
No,No,3.1,29,Quick Bites,150,Delivery,Banashankari
No,No,3.4,8,Bakery,400,Delivery,Banashankari
No,No,3.1,30,Bar,1000,Delivery,Banashankari
Yes,No,4.1,201,Quick Bites,300,Delivery,Banashankari
No,No,3.3,7,Quick Bites,200,Delivery,Banashankari
No,No,3.1,6,Quick Bites,100,Delivery,Banashankari
No,No,3.3,17,Quick Bites,200,Delivery,Banashankari
No,No,2.9,25,Dessert Parlor,200,Delivery,Banashankari
No,No,3.3,8,Delivery,100,Delivery,Banashankari
Yes,No,4.0,771,Casual Dining,450,Delivery,Banashankari
No,No,3.0,98,Bar,800,Delivery,Banashankari
Yes,No,3.9,47,Quick Bites,200,Delivery,Banashankari
Yes,Yes,4.1,175,Casual Dining,500,Delivery,Banashankari
Yes,No,3.8,58,Quick Bites,300,Delivery,Banashankari
Yes,No,3.8,540,Casual Dining,650,Delivery,Banashankari
Yes,No,3.8,124,Quick Bites,400,Delivery,Banashankari
Yes,No,4.1,340,Takeaway,500,Delivery,Banashankari
Yes,No,3.8,505,Quick Bites,450,Delivery,Banashankari
Yes,No,4.1,438,Dessert Parlor,500,Delivery,Banashankari
Yes,No,3.7,264,Casual Dining,750,Delivery,Banashankari
Yes,No,3.9,169,Beverage Shop,150,Delivery,Banashankari
Yes,No,3.0,67,Quick Bites,250,Delivery,Banashankari
Yes,No,3.7,97,Quick Bites,350,Delivery,Banashankari
Yes,No,3.3,12,Takeaway,300,Delivery,Banashankari
Yes,No,3.3,12,Quick Bites,300,Delivery,Banashankari
Yes,No,3.6,195,Casual Dining,800,Delivery,Banashankari
Yes,No,3.3,13,Dessert Parlor,300,Delivery,Banashankari
Yes,No,4.6,228,Cafe,400,Delivery,Banashankari
Yes,No,4.1,70,Quick Bites,150,Delivery,Banashankari
Yes,Yes,4.1,364,Casual Dining,1200,Delivery,Banashankari
Yes,No,3.7,107,Beverage Shop,150,Delivery,Banashankari
Yes,No,3.2,167,Quick Bites,300,Delivery,Banashankari
Yes,No,4.0,115,Sweet Shop,400,Delivery,Banashankari
Yes,No,3.7,27,Takeaway,400,Delivery,Banashankari
Yes,No,3.5,57,Quick Bites,200,Delivery,Banashankari
Yes,No,3.8,120,Quick Bites,250,Delivery,Banashankari
Yes,No,3.8,15,Bakery,400,Delivery,Banashankari
Yes,No,4.2,64,Quick Bites,500,Delivery,Banashankari
Yes,No,3.6,66,Quick Bites,150,Delivery,Banashankari
Yes,No,3.0,290,Quick Bites,450,Delivery,Banashankari
Yes,No,4.1,233,Quick Bites,200,Delivery,Banashankari
Yes,No,3.8,115,Quick Bites,250,Delivery,Banashankari
Yes,No,3.1,119,Casual Dining,700,Delivery,Banashankari
Yes,Yes,3.9,291,Cafe,650,Delivery,Banashankari
Yes,No,4.5,155,Beverage Shop,300,Delivery,Banashankari
Yes,No,4.1,305,Casual Dining,700,Delivery,Banashankari
Yes,No,3.6,46,Quick Bites,500,Delivery,Banashankari
Yes,No,3.5,45,Quick Bites,350,Delivery,Banashankari
Yes,No,3.9,38,Dessert Parlor,150,Delivery,Banashankari
Yes,No,3.9,441,Quick Bites,400,Delivery,Banashankari
Yes,No,3.9,25,Quick Bites,100,Delivery,Banashankari
Yes,No,4.3,630,Quick Bites,200,Delivery,Banashankari
Yes,No,3.8,25,Quick Bites,150,Delivery,Banashankari
Yes,No,3.9,160,Quick Bites,300,Delivery,Banashankari
Yes,No,4.2,287,Quick Bites,350,Delivery,Banashankari
Yes,No,3.6,11,Quick Bites,100,Delivery,Banashankari
Yes,No,4.1,402,Cafe,500,Delivery,Banashankari
Yes,No,3.8,469,Casual Dining,750,Delivery,Banashankari
Yes,No,3.3,511,Casual Dining,550,Delivery,Banashankari
Yes,No,3.9,57,Quick Bites,200,Delivery,Banashankari
Yes,No,3.4,14,Quick Bites,300,Delivery,Banashankari
Yes,No,3.9,264,Quick Bites,200,Delivery,Banashankari
Yes,No,3.0,62,Cafe,400,Delivery,Banashankari
Yes,No,3.8,693,Casual Dining,750,Delivery,Banashankari
Yes,No,3.8,242,Casual Dining,650,Delivery,Banashankari
Yes,No,3.6,27,Dessert Parlor,250,Delivery,Banashankari
Yes,No,4.1,163,Quick Bites,500,Delivery,Banashankari
Yes,No,4.2,191,Quick Bites,250,Delivery,Banashankari
Yes,No,3.5,32,Quick Bites,150,Delivery,Banashankari
Yes,No,2.5,247,Casual Dining,500,Delivery,Banashankari
Yes,No,4.1,337,Quick Bites,300,Delivery,Banashankari
Yes,No,3.9,135,Casual Dining,800,Delivery,Banashankari
Yes,No,3.6,172,Casual Dining,700,Delivery,Banashankari
Yes,No,3.6,105,Casual Dining,700,Delivery,Banashankari
Yes,No,4.2,504,Cafe,550,Delivery,Banashankari
Yes,No,3.2,36,Quick Bites,200,Delivery,Banashankari
Yes,No,3.1,39,Quick Bites,300,Delivery,Banashankari
Yes,Yes,4.3,1129,Casual Dining,1300,Delivery,Banashankari
Yes,No,3.9,56,Quick Bites,350,Delivery,Banashankari
Yes,No,4.3,860,Dessert Parlor,500,Delivery,Banashankari
Yes,No,3.8,412,Casual Dining,700,Delivery,Banashankari
Yes,Yes,3.9,142,Casual Dining,1000,Delivery,Banashankari
Yes,No,3.0,23,Quick Bites,400,Delivery,Banashankari
Yes,No,3.6,143,Casual Dining,750,Delivery,Banashankari
Yes,Yes,2.8,80,Casual Dining,500,Delivery,Banashankari
Yes,No,3.6,16,Casual Dining,400,Delivery,Banashankari
Yes,No,4.4,181,Beverage Shop,250,Delivery,Banashankari
Yes,No,3.8,70,Quick Bites,200,Delivery,Banashankari
Yes,No,3.8,164,Quick Bites,600,Delivery,Banashankari
Yes,No,3.6,58,Quick Bites,650,Delivery,Banashankari
No,No,3.8,148,Casual Dining,550,Delivery,Banashankari
No,No,3.9,206,Quick Bites,450,Delivery,Banashankari
No,No,3.6,16,Quick Bites,300,Delivery,Banashankari
No,No,3.7,217,Casual Dining,450,Delivery,Banashankari
No,No,3.6,46,Quick Bites,450,Delivery,Banashankari
No,No,3.8,148,Quick Bites,150,Delivery,Banashankari
No,No,3.4,30,Dessert Parlor,250,Delivery,Banashankari
No,No,3.6,8,Casual Dining,800,Delivery,Banashankari
No,No,3.5,15,Bakery,400,Delivery,Banashankari
Yes,No,3.4,9,Quick Bites,200,Delivery,Banashankari
Yes,No,3.7,31,Quick Bites,300,Delivery,Banashankari
Yes,No,2.9,177,Casual Dining,700,Delivery,Banashankari
Yes,No,3.7,22,Sweet Shop,250,Delivery,Banashankari
Yes,No,3.5,10,Beverage Shop,100,Delivery,Banashankari
Yes,No,3.7,136,Quick Bites,600,Delivery,Banashankari
Yes,No,2.9,35,Quick Bites,250,Delivery,Banashankari
Yes,No,4.1,185,Quick Bites,200,Delivery,Banashankari
Yes,No,3.2,17,Cafe,900,Delivery,Banashankari
Yes,No,3.8,155,Casual Dining,400,Delivery,Banashankari
Yes,No,3.8,42,Quick Bites,300,Delivery,Banashankari
Yes,No,3.8,286,Casual Dining,600,Delivery,Banashankari
Yes,No,3.8,160,Casual Dining,700,Delivery,Banashankari
Yes,No,3.8,59,Casual Dining,750,Delivery,Banashankari
Yes,No,3.5,90,Casual Dining,500,Delivery,Banashankari
Yes,No,3.7,51,Quick Bites,350,Delivery,Banashankari
Yes,No,4.0,89,Quick Bites,200,Delivery,Banashankari
Yes,No,3.6,18,Quick Bites,250,Delivery,Banashankari
Yes,No,3.9,40,Casual Dining,600,Delivery,Banashankari
Yes,No,2.5,35,Quick Bites,200,Delivery,Banashankari
Yes,No,3.4,89,Quick Bites,250,Delivery,Banashankari
Yes,No,3.2,11,Quick Bites,150,Delivery,Banashankari
Yes,No,3.6,62,Quick Bites,600,Delivery,Banashankari
Yes,No,3.9,33,Dessert Parlor,300,Delivery,Banashankari
Yes,No,3.8,32,Sweet Shop,250,Delivery,Banashankari
Yes,No,4.1,139,Casual Dining,550,Delivery,Banashankari
Yes,No,3.2,154,Quick Bites,300,Delivery,Banashankari
Yes,No,3.6,14,Bakery,350,Delivery,Banashankari
Yes,No,3.7,237,Quick Bites,200,Delivery,Banashankari
Yes,No,3.9,388,Casual Dining,650,Delivery,Banashankari
Yes,No,3.9,128,Casual Dining,500,Delivery,Banashankari
Yes,No,3.8,90,Cafe,650,Delivery,Banashankari
Yes,No,3.1,7,Quick Bites,250,Delivery,Banashankari
Yes,No,3.7,38,Casual Dining,400,Delivery,Banashankari
Yes,No,4.2,179,Delivery,600,Delivery,Banashankari
Yes,No,4.0,43,Dessert Parlor,250,Delivery,Banashankari
Yes,No,4.3,275,Quick Bites,100,Delivery,Banashankari
Yes,No,3.7,323,Casual Dining,850,Delivery,Banashankari
Yes,No,3.1,28,Casual Dining,400,Delivery,Banashankari
Yes,No,3.9,18,Quick Bites,200,Delivery,Banashankari
Yes,No,3.3,6,Quick Bites,100,Delivery,Banashankari
Yes,No,4.3,322,Casual Dining,400,Delivery,Banashankari
Yes,No,2.6,157,Cafe,450,Delivery,Banashankari
Yes,No,3.9,543,Quick Bites,300,Delivery,Banashankari
Yes,No,3.7,180,Cafe,500,Delivery,Banashankari
Yes,No,4.2,444,Quick Bites,100,Delivery,Banashankari
Yes,No,3.9,134,Quick Bites,400,Delivery,Banashankari
Yes,No,3.8,577,Casual Dining,900,Delivery,Banashankari
Yes,No,4.2,60,Quick Bites,200,Delivery,Banashankari
Yes,No,3.9,144,Casual Dining,550,Delivery,Banashankari
Yes,No,4.1,787,Casual Dining,800,Delivery,Banashankari
Yes,No,3.6,16,Quick Bites,200,Delivery,Banashankari
Yes,No,3.6,84,Quick Bites,250,Delivery,Banashankari
Yes,No,3.6,95,Quick Bites,150,Delivery,Banashankari
Yes,Yes,4.0,349,Casual Dining,1200,Delivery,Banashankari
Yes,No,3.7,248,Quick Bites,400,Delivery,Banashankari
Yes,No,4.1,216,Cafe,500,Delivery,Banashankari
Yes,No,4.0,324,Cafe,700,Delivery,Banashankari
Yes,No,2.6,231,Quick Bites,400,Delivery,Banashankari
Yes,No,3.4,102,Casual Dining,400,Delivery,Banashankari
Yes,No,3.9,133,Cafe,800,Delivery,Banashankari
Yes,No,2.8,45,Casual Dining,800,Delivery,Banashankari
Yes,No,3.9,149,Quick Bites,300,Delivery,Banashankari
Yes,No,3.8,75,Quick Bites,200,Delivery,Banashankari
Yes,No,4.0,53,Delivery,600,Delivery,Banashankari
Yes,Yes,4.2,815,Casual Dining,900,Delivery,Banashankari
Yes,Yes,4.0,633,Casual Dining,800,Delivery,Banashankari
Yes,No,3.5,56,Dessert Parlor,400,Delivery,Banashankari
Yes,No,3.0,82,Quick Bites,300,Delivery,Banashankari
Yes,No,3.7,35,Quick Bites,200,Delivery,Banashankari
Yes,No,3.6,20,Quick Bites,150,Delivery,Banashankari
Yes,No,3.1,14,Quick Bites,250,Delivery,Banashankari
Yes,No,3.9,70,Dessert Parlor,400,Delivery,Banashankari
Yes,No,3.9,91,Cafe,300,Delivery,Banashankari
Yes,No,3.6,45,Quick Bites,200,Delivery,Banashankari
Yes,No,3.4,7,Quick Bites,250,Delivery,Banashankari
Yes,No,3.8,28,Quick Bites,150,Delivery,Banashankari
Yes,No,3.6,24,Casual Dining,600,Delivery,Banashankari
Yes,No,3.8,36,Dessert Parlor,200,Delivery,Banashankari
Yes,No,3.5,11,Quick Bites,200,Delivery,Banashankari
Yes,No,3.8,77,Cafe,650,Delivery,Banashankari
Yes,No,3.2,8,Sweet Shop,100,Delivery,Banashankari
Yes,No,3.7,14,Quick Bites,100,Delivery,Banashankari
Yes,No,3.8,210,Casual Dining,600,Delivery,Banashankari
Yes,No,4.1,130,Cafe,650,Delivery,Banashankari
Yes,No,4.1,30,Beverage Shop,100,Delivery,Banashankari
Yes,No,3.8,144,Cafe,700,Delivery,Banashankari
Yes,No,3.4,11,Bar,800,Delivery,Banashankari
Yes,No,3.7,133,Casual Dining,700,Delivery,Banashankari
Yes,No,4.0,136,Quick Bites,350,Delivery,Banashankari
Yes,No,3.5,11,Sweet Shop,200,Delivery,Banashankari
Yes,No,3.8,74,Quick Bites,300,Delivery,Banashankari
Yes,No,3.7,30,Quick Bites,300,Delivery,Banashankari
Yes,No,3.0,7,Quick Bites,200,Delivery,Banashankari
Yes,No,3.8,75,Cafe,200,Delivery,Banashankari
Yes,No,3.7,54,Cafe,600,Delivery,Banashankari
Yes,No,3.6,23,Kiosk,100,Delivery,Banashankari
Yes,No,3.2,119,Casual Dining,400,Delivery,Banashankari
Yes,No,3.7,73,Quick Bites,400,Delivery,Banashankari
Yes,No,3.4,58,Cafe,400,Delivery,Banashankari
Yes,No,3.6,129,Casual Dining,600,Delivery,Banashankari
Yes,No,3.6,24,Quick Bites,250,Delivery,Banashankari
Yes,No,3.0,175,Quick Bites,400,Delivery,Banashankari
Yes,No,3.7,21,Quick Bites,300,Delivery,Banashankari
Yes,No,3.5,41,Kiosk,400,Delivery,Banashankari
Yes,No,3.6,35,Quick Bites,300,Delivery,Banashankari
Yes,No,4.1,176,Casual Dining,800,Delivery,Banashankari
Yes,No,3.5,45,Beverage Shop,300,Delivery,Banashankari
Yes,No,3.7,47,Quick Bites,400,Delivery,Banashankari
Yes,Yes,3.7,36,Casual Dining,650,Delivery,Banashankari
Yes,No,3.8,52,Beverage Shop,400,Delivery,Banashankari
Yes,No,2.7,123,Quick Bites,200,Delivery,Banashankari
Yes,No,3.6,59,Casual Dining,700,Delivery,Banashankari
Yes,No,3.8,101,Quick Bites,400,Delivery,Banashankari
Yes,No,3.7,54,Beverage Shop,400,Delivery,Banashankari
Yes,No,3.6,22,Quick Bites,200,Delivery,Banashankari
Yes,No,3.1,31,Takeaway,250,Delivery,Banashankari
Yes,No,3.0,29,Cafe,500,Delivery,Banashankari
Yes,No,3.4,6,Beverage Shop,100,Delivery,Banashankari
Yes,No,3.0,22,Quick Bites,250,Delivery,Banashankari
Yes,No,2.9,11,Quick Bites,500,Delivery,Banashankari
Yes,No,3.9,101,Quick Bites,150,Delivery,Banashankari
Yes,Yes,4.1,442,Pub,1200,Delivery,Banashankari
Yes,No,3.5,155,Quick Bites,400,Delivery,Banashankari
Yes,No,3.4,12,Beverage Shop,150,Delivery,Banashankari
Yes,No,3.6,15,Quick Bites,100,Delivery,Banashankari
Yes,No,3.5,10,Quick Bites,200,Delivery,Banashankari
Yes,No,3.8,25,Quick Bites,300,Delivery,Banashankari
Yes,No,3.8,61,Quick Bites,300,Delivery,Banashankari
Yes,No,3.7,23,Quick Bites,300,Delivery,Banashankari
Yes,No,3.8,25,Quick Bites,350,Delivery,Banashankari
Yes,No,3.7,40,Quick Bites,200,Delivery,Banashankari
Yes,No,3.4,8,Quick Bites,150,Delivery,Banashankari
Yes,No,3.5,32,Quick Bites,300,Delivery,Banashankari
Yes,No,3.3,10,Quick Bites,200,Delivery,Banashankari
Yes,No,3.4,6,Quick Bites,300,Delivery,Banashankari
Yes,No,3.8,53,Quick Bites,250,Delivery,Banashankari
Yes,No,3.7,67,Casual Dining,700,Delivery,Banashankari
Yes,No,2.9,23,Sweet Shop,250,Delivery,Banashankari
Yes,No,3.4,19,Quick Bites,200,Delivery,Banashankari
Yes,No,3.6,24,Quick Bites,300,Delivery,Banashankari
Yes,No,4.0,232,Quick Bites,400,Delivery,Banashankari
Yes,No,3.9,221,Casual Dining,700,Delivery,Banashankari
Yes,Yes,4.1,1063,Casual Dining,1200,Delivery,Banashankari
Yes,No,3.7,93,Quick Bites,200,Delivery,Banashankari
Yes,No,3.9,233,Casual Dining,800,Delivery,Banashankari
Yes,No,3.9,211,Casual Dining,500,Delivery,Banashankari
Yes,No,3.6,218,Casual Dining,800,Delivery,Banashankari
Yes,No,3.7,514,Cafe,600,Delivery,Banashankari
Yes,Yes,4.0,866,Casual Dining,900,Delivery,Banashankari
Yes,No,3.2,96,Quick Bites,400,Delivery,Banashankari
Yes,No,3.5,80,Quick Bites,250,Delivery,Banashankari
Yes,No,4.0,73,Bakery,300,Delivery,Banashankari
Yes,No,3.9,84,Sweet Shop,400,Delivery,Banashankari
Yes,No,3.5,88,Quick Bites,350,Delivery,Banashankari
Yes,No,3.5,179,Casual Dining,600,Delivery,Banashankari
Yes,No,3.8,61,Quick Bites,100,Delivery,Banashankari
Yes,No,3.7,128,Casual Dining,450,Delivery,Banashankari
Yes,No,3.8,339,Quick Bites,400,Delivery,Banashankari
Yes,No,4.1,449,Quick Bites,100,Delivery,Banashankari
Yes,No,4.1,210,Dessert Parlor,150,Delivery,Banashankari
Yes,No,3.7,57,Quick Bites,200,Delivery,Banashankari
Yes,No,3.0,213,Quick Bites,400,Delivery,Banashankari
Yes,No,3.2,208,Beverage Shop,250,Delivery,Banashankari
Yes,No,3.8,70,Quick Bites,100,Delivery,Banashankari
Yes,No,4.0,219,Cafe,600,Delivery,Banashankari
Yes,No,3.7,59,Quick Bites,200,Delivery,Banashankari
Yes,No,3.1,10,Quick Bites,500,Delivery,Banashankari
Yes,No,3.0,9,Quick Bites,400,Delivery,Banashankari
Yes,No,3.7,124,Casual Dining,750,Delivery,Banashankari
Yes,No,3.7,19,Quick Bites,100,Delivery,Banashankari
Yes,No,3.8,21,Dessert Parlor,200,Delivery,Banashankari
Yes,No,3.4,8,Quick Bites,250,Delivery,Banashankari
Yes,No,3.5,10,Quick Bites,400,Delivery,Banashankari
Yes,No,3.5,10,Quick Bites,400,Delivery,Banashankari
Yes,No,3.6,16,Takeaway,500,Delivery,Banashankari
Yes,No,3.4,12,Quick Bites,300,Delivery,Banashankari
Yes,No,3.9,14,Casual Dining,600,Delivery,Banashankari
Yes,No,3.5,15,Quick Bites,250,Delivery,Banashankari
Yes,No,3.6,17,Quick Bites,300,Delivery,Banashankari
Yes,No,3.3,6,Quick Bites,500,Delivery,Banashankari
Yes,No,3.4,10,Quick Bites,100,Delivery,Banashankari
Yes,Yes,4.1,775,Casual Dining,800,Delivery,Banashankari
Yes,Yes,4.2,150,Cafe,600,Delivery,Banashankari
Yes,No,4.0,232,Casual Dining,750,Delivery,Banashankari
Yes,No,3.9,38,Quick Bites,200,Delivery,Banashankari
Yes,Yes,3.5,431,Casual Dining,800,Delivery,Banashankari
Yes,No,3.4,30,Quick Bites,200,Delivery,Banashankari
Yes,No,4.2,150,Casual Dining,800,Delivery,Banashankari
Yes,No,3.3,12,Quick Bites,200,Delivery,Banashankari
Yes,No,3.8,155,Casual Dining,450,Delivery,Banashankari
Yes,No,3.7,33,Quick Bites,200,Delivery,Banashankari
Yes,Yes,4.1,666,Casual Dining,1000,Delivery,Banashankari
Yes,No,3.9,240,Cafe,700,Delivery,Banashankari
Yes,No,3.8,918,Cafe,800,Delivery,Banashankari
Yes,No,4.0,465,Casual Dining,600,Delivery,Banashankari
Yes,Yes,4.1,970,Microbrewery,1500,Delivery,Banashankari
Yes,No,3.3,128,Quick Bites,300,Delivery,Banashankari
Yes,No,3.6,241,Quick Bites,300,Delivery,Banashankari
Yes,No,3.4,22,Quick Bites,200,Delivery,Banashankari
Yes,No,4.3,734,Quick Bites,200,Delivery,Banashankari
Yes,No,3.8,130,Quick Bites,400,Delivery,Banashankari
Yes,No,4.2,261,Cafe,700,Delivery,Banashankari
Yes,No,4.0,191,Quick Bites,300,Delivery,Banashankari
Yes,No,4.1,364,Casual Dining,550,Delivery,Banashankari
Yes,No,3.8,133,Quick Bites,300,Delivery,Banashankari
Yes,No,3.9,888,Casual Dining,750,Delivery,Banashankari
Yes,No,3.1,13,Cafe,400,Delivery,Banashankari
Yes,No,3.9,750,Casual Dining,500,Delivery,Banashankari
Yes,Yes,4.2,164,Cafe,500,Delivery,Banashankari
Yes,No,3.2,6,Delivery,200,Delivery,Banashankari
Yes,No,3.8,527,Casual Dining,500,Delivery,Banashankari
No,No,4.3,345,Dessert Parlor,400,Desserts,Banashankari
No,No,4.4,356,Sweet Shop,150,Desserts,Banashankari
Yes,No,3.7,17,Dessert Parlor,400,Desserts,Banashankari
Yes,No,3.9,38,Dessert Parlor,150,Desserts,Banashankari
No,No,3.7,78,Bakery,150,Desserts,Banashankari
No,No,3.8,60,Dessert Parlor,400,Desserts,Banashankari
Yes,No,4.0,115,Sweet Shop,400,Desserts,Banashankari
No,No,3.8,39,Bakery,300,Desserts,Banashankari
Yes,No,3.9,116,Dessert Parlor,400,Desserts,Banashankari
Yes,No,3.8,918,Cafe,800,Desserts,Banashankari
No,No,3.7,46,Sweet Shop,400,Desserts,Banashankari
Yes,No,3.9,41,Dessert Parlor,300,Desserts,Banashankari
Yes,No,3.8,144,Cafe,700,Desserts,Banashankari
No,No,3.8,28,Beverage Shop,150,Desserts,Banashankari
Yes,No,4.3,860,Dessert Parlor,500,Desserts,Banashankari
No,No,3.5,14,Sweet Shop,200,Desserts,Banashankari
No,No,4.0,66,Bakery,300,Desserts,Banashankari
Yes,No,3.2,8,Sweet Shop,100,Desserts,Banashankari
Yes,No,3.7,54,Beverage Shop,400,Desserts,Banashankari
No,No,3.5,7,Dessert Parlor,500,Desserts,Banashankari
No,No,3.2,9,Dessert Parlor,300,Desserts,Banashankari
No,No,3.6,42,Beverage Shop,300,Desserts,Banashankari
No,No,3.8,64,Quick Bites,250,Desserts,Banashankari
Yes,No,3.6,14,Bakery,350,Desserts,Banashankari
No,No,3.8,45,Takeaway,400,Desserts,Banashankari
No,No,3.2,11,Cafe,600,Desserts,Banashankari
No,No,3.5,13,Bakery,300,Desserts,Banashankari
No,No,3.4,7,Dessert Parlor,150,Desserts,Banashankari
No,No,3.4,8,Bakery,400,Desserts,Banashankari
No,No,2.9,25,Dessert Parlor,200,Desserts,Banashankari
No,No,3.2,17,Dessert Parlor,150,Desserts,Banashankari
Yes,No,3.9,35,Delivery,500,Desserts,Banashankari
Yes,No,3.9,70,Dessert Parlor,400,Desserts,Banashankari
No,No,4.0,98,Sweet Shop,400,Desserts,Banashankari
No,No,3.7,25,Dessert Parlor,250,Desserts,Banashankari
